-4.00,0.15, 6.00
-2.00,0.15, 6.00
-0.00,0.15, 6.00
 2.00,0.15, 6.00
 4.00,0.15, 6.00
-4.00,0.15,-6.00
-2.00,0.15,-6.00
-0.00,0.15,-6.00
 2.00,0.15,-6.00
 4.00,0.15,-6.00
-6.00,0.15,-4.00
-6.00,0.15,-2.00
-6.00,0.15, 0.00
-6.00,0.15, 2.00
-6.00,0.15, 4.00
 6.20,0.15,-4.00
 6.20,0.15,-2.00
 6.20,0.15, 0.00
 6.20,0.15, 2.00
 6.20,0.15, 4.00
-0.90,0.15,-3.06
 1.90,0.15,-1.70
 4.42,0.15,-2.16
 4.40,0.15,-0.40
 2.00,0.15,-0.57
-3.30,0.15,-1.80
-2.09,0.15, 1.96
-0.80,0.15, 1.80
 3.10,0.15, 2.00
 2.00,0.15, 4.20
-4.21,0.15,-0.70
