-1.80 , 5.3 ,-4.9 , 5.69
 2.572,-0.09, 2.24, 1.52
-2.64 , 2.20,-2.96, 3.06
 4.78 ,-4.53, 4.31,-4.22
-1.88 ,-5.54,-4.86,-5.17
-2.46 ,-3.51,-4.95,-3.16
 3.67 ,-5.59, 3.32,-2.56
 1.53 , 4.26,-0.9 , 4.63
 1.83 , 5.29,-1.17, 5.64
 4.72 ,-5.59, 3.32,-5.23
 5.81 ,-5.49, 5.46,-2.45
 5.80 ,-1.55, 2.26,-1.19
 5.81 ,-0.02, 5.46, 5.60
 4.74 , 4.11, 3.38, 4.46
 4.72 , 2.21, 3.38, 2.58
 2.8  ,-5.6 ,-1.15,-5.22
 2.8  ,-5.6 , 2.43,-2.46
 5.81 ,-3.55, 4.42,-3.21
 2.8  ,-2.82,-0.32,-2.45
-1.56 ,-4.39,-1.91,-1.3
-5.47 ,-5.62,-5.84,-2.52
-2.64 , 2.2 ,-5.82, 2.57
-1.54 , 1.02,-1.91, 4.61
 0.97 , 3.29,-1.83, 3.67
 3.68 , 2.21, 3.31, 5.27
 5.81 , 3.15, 4.38, 3.54
 2.79 , 3.29, 2.43, 6.4
-2.63 , 3.68,-3.02, 5.69
-3.77 , 3.71,-4.16, 5.69
-5.47 , 2.2 ,-5.85, 5.28
 4.62 ,-0.08, 2.24, 0.29
 4.58 , 1.14, 2.24, 1.52
 0.82 ,-3.97, 0.42,-2.45
-0.11 ,-3.98,-1.91,-3.58
-2.60 ,-5.54,-3.03,-4.12
-3.76 ,-5.54,-4.22,-4.15
 0    ,-2.82,-0.36, 0.2
 0    ,-0.13,-1.94, 0.28
 1.46 ,-1.56,-0.31,-1.16
 1.46 ,-1.56, 1.07, 1.58
 1.41 , 1.16,-0.41, 1.58
