 0.50,0.14,-1.00
 0.50,0.14, 0.66
-0.95,0.14, 0.66
-0.95,0.14, 2.23
 1.90,0.14, 2.23
 1.90,0.14, 5.00
-2.23,0.14, 5.00
-2.23,0.14,-0.81
-1.12,0.14,-0.81
-1.12,0.14,-3.21
 0.11,0.14,-3.21
 0.11,0.14,-4.92
-1.39,0.14,-4.92
-1.39,0.14,-6.03
 5.20,0.14,-6.03
 5.20,0.14,-4.79
 3.80,0.14,-4.79
 3.80,0.14,-1.93
 1.90,0.14,-1.93
 1.90,0.14,-0.52
 5.08,0.14,-0.52
 5.08,0.14, 2.89
 4.00,0.14, 2.89
 4.00,0.14, 3.85
 5.08,0.14, 3.85
 5.08,0.14, 6.03
 3.00,0.14, 6.03
 3.00,0.14, 2.23
